Wavelength (nm),Real n ,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
319.5,5.021,3.31,31298.90454,4.9288,1.836287592,0.9521,71.23564955
321.2,5.029,3.275,31133.25031,4.7996,4.56154305,1.1416,65.14198473
322.9,5.04,3.242,30969.34035,4.7781,5.196428571,1.13,65.14497224
324.6,5.052,3.211,30807.14726,4.7944,5.098970705,1.1081,65.4905014
326.3,5.065,3.182,30646.64419,4.8126,4.983218164,1.0435,67.20615965
328,5.079,3.154,30487.80488,4.8648,4.217365623,0.9734,69.13760304
329.7,5.095,3.128,30330.60358,5.0134,1.601570167,0.7029,77.52877238
331.5,5.115,3.103,30165.91252,4.911,3.988269795,0.8903,71.30841121
333.3,5.134,3.079,30003.0003,4.9147,4.271523179,0.8626,71.98441052
335.1,5.156,3.058,29841.83826,4.9438,4.115593483,0.8444,72.38718116
336.9,5.179,3.039,29682.39834,5.0754,2.000386175,0.6086,79.97367555
338.8,5.204,3.021,29515.93861,4.8836,6.15680246,0.981,67.52730884
340.6,5.231,3.007,29359.95302,5.1368,1.800802906,0.5444,81.89557699
342.5,5.261,2.995,29197.08029,5.0768,3.501235507,0.7082,76.35392321
344.4,5.296,2.987,29036.00465,5.1013,3.676359517,0.6884,76.95346502
346.3,5.336,2.983,28876.69651,5.2646,1.33808096,0.4804,83.89540731
348.3,5.383,2.984,28710.88142,5.0829,5.574958202,0.8669,70.94839142
350.2,5.442,2.989,28555.11136,5.3929,0.902241823,0.4331,85.51020408
352.2,5.515,2.999,28392.95855,5.3424,3.129646419,0.6343,78.84961654
354.2,5.61,3.014,28232.63693,5.5603,0.885918004,0.4317,85.67684141
356.3,5.733,3.026,28066.23632,5.4512,4.915402058,0.856,71.7118308
358.3,5.894,3.023,27909.57298,5.8517,0.717678996,0.4031,86.66556401
360.4,6.089,2.982,27746.94784,5.9319,2.580062408,0.561,81.18712274
362.5,6.308,2.881,27586.2069,6.2663,0.661065314,0.2339,91.88129122
364.7,6.522,2.705,27419.79709,6.287,3.603189206,0.4951,81.69685767
366.8,6.695,2.456,27262.81352,6.6601,0.521284541,-0.2121,108.6359935
369,6.796,2.169,27100.271,6.671,1.839317245,-0.3059,114.1032734
371.2,6.829,1.87,26939.65517,6.7471,1.199297115,-0.6503,134.7754011
373.4,6.799,1.571,26780.93198,6.7441,0.807471687,-1.1601,173.8446849
375.7,6.709,1.321,26616.98163,6.6149,1.402593531,-1.2353,193.5124905
378,6.585,1.11,26455.02646,6.4821,1.562642369,-1.438,229.5495495
