Wavelength (um),Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
0.437,437,2.8617,0.6171,22883.29519,3.5707,24.7754831,4.6176,648.2741857
0.438,438,2.8564,0.6186,22831.05023,3.5648,24.80044812,4.6224,647.2356935
0.439,439,2.8516,0.6204,22779.04328,3.5538,24.62477206,4.6234,645.2288846
0.44,440,2.8472,0.6226,22727.27273,3.5504,24.69794886,4.63,643.6556376
0.441,441,2.8433,0.6249,22675.73696,3.5426,24.59466113,4.6325,641.318611
0.442,442,2.8398,0.6274,22624.43439,3.5417,24.71652933,4.6406,639.655722
0.443,443,2.8369,0.6302,22573.36343,3.5365,24.66072121,4.6444,636.9723897
0.444,444,2.8345,0.6331,22522.52252,3.5389,24.85094373,4.6535,635.0339599
0.445,445,2.8325,0.6361,22471.91011,3.5369,24.86849073,4.6578,632.243358
0.446,446,2.8311,0.6391,22421.52466,3.5423,25.12097771,4.6679,630.386481
0.447,447,2.8301,0.6422,22371.36465,3.5432,25.19698951,4.6722,627.5303644
0.448,448,2.8297,0.6454,22321.42857,3.5516,25.51153833,4.6829,625.581035
0.449,449,2.8298,0.6485,22271.71492,3.5561,25.66612481,4.6868,622.7139553
0.45,450,2.8303,0.6515,22222.22222,3.5677,26.05377522,4.6971,620.9669992
0.451,451,2.8313,0.6545,22172.949,3.5751,26.27061774,4.7005,618.1818182
0.452,452,2.8327,0.6573,22123.89381,3.5899,26.73068098,4.7103,616.6134185
0.453,453,2.8346,0.66,22075.05519,3.6001,27.00557398,4.7128,614.0606061
0.454,454,2.8369,0.6626,22026.43172,3.6179,27.53005041,4.7218,612.6169635
0.455,455,2.8397,0.6649,21978.02198,3.6313,27.8761841,4.7226,610.2722214
0.456,456,2.8427,0.6671,21929.82456,3.6517,28.45885953,4.7302,609.0691051
0.457,457,2.8463,0.669,21881.83807,3.6682,28.87608474,4.7296,606.9656203
0.458,458,2.8501,0.6706,21834.06114,3.6914,29.51826252,4.7351,606.0990158
0.459,459,2.8542,0.6719,21786.49237,3.7103,29.99439423,4.7324,604.3310016
0.46,460,2.8587,0.6729,21739.13043,3.7358,30.68177843,4.7364,603.8787338
0.461,461,2.8635,0.6736,21691.97397,3.7568,31.1960887,4.7311,602.3604513
0.462,462,2.8685,0.674,21645.02165,3.7845,31.93306606,4.7327,602.1810089
0.463,463,2.8738,0.674,21598.27214,3.8078,32.50052196,4.7246,600.9792285
0.464,464,2.8792,0.6736,21551.72414,3.8372,33.27313143,4.7234,601.2173397
0.465,465,2.8848,0.6729,21505.37634,3.8618,33.86716583,4.7124,600.312082
0.466,466,2.8905,0.6718,21459.22747,3.8927,34.67220204,4.7085,600.8782376
0.467,467,2.8963,0.6704,21413.27623,3.9187,35.30021061,4.6945,600.25358
0.468,468,2.9022,0.6685,21367.52137,3.9509,36.13465647,4.6881,601.2864622
0.469,469,2.9082,0.6663,21321.96162,3.9777,36.77532494,4.6711,601.0505778
0.47,470,2.9143,0.6637,21276.59574,4.0107,37.62138421,4.6617,602.3805936
0.471,471,2.9203,0.6607,21231.42251,4.0382,38.28031367,4.641,602.4368094
0.472,472,2.9263,0.6573,21186.44068,4.0716,39.13816082,4.6288,604.2142096
0.473,473,2.9323,0.6535,21141.64905,4.0992,39.79470041,4.6051,604.682479
0.474,474,2.9382,0.6494,21097.04641,4.1322,40.63712477,4.5898,606.7754851
0.475,475,2.944,0.645,21052.63158,4.1598,41.29755435,4.5631,607.4573643
0.476,476,2.9498,0.6402,21008.40336,4.1927,42.13506,4.5449,609.9187754
0.477,477,2.9553,0.6351,20964.36059,4.2199,42.79091801,4.5148,610.8801764
0.478,478,2.9608,0.6296,20920.50209,4.2522,43.61659011,4.4942,613.8182973
0.479,479,2.966,0.6239,20876.82672,4.2783,44.24477411,4.461,615.0184324
0.48,480,2.9712,0.6179,20833.33333,4.3097,45.0491384,4.438,618.2391973
0.481,481,2.9761,0.6116,20790.02079,4.3349,45.65706797,4.4015,619.6697188
0.482,482,2.9807,0.6051,20746.88797,4.365,46.44211091,4.376,623.1862502
0.483,483,2.9852,0.5983,20703.93375,4.3891,47.0286748,4.3373,624.9373224
0.484,484,2.9894,0.5913,20661.15702,4.4175,47.77212819,4.3094,628.8009471
0.485,485,2.9934,0.5842,20618.5567,4.4401,48.32965858,4.2683,630.6230743
0.486,486,2.9971,0.5768,20576.13169,4.4671,49.0474125,4.2383,634.795423
0.487,487,3.0005,0.5694,20533.8809,4.4877,49.56507249,4.195,636.7404285
0.488,488,3.0037,0.5618,20491.80328,4.5136,50.2680028,4.1636,641.1178355
0.489,489,3.0066,0.554,20449.89775,4.5328,50.76165769,4.1184,643.3935018
0.49,490,3.0093,0.5461,20408.16327,4.5566,51.41727312,4.0855,648.1230544
0.491,491,3.0117,0.5381,20366.59878,4.574,51.87435668,4.0386,650.5296413
0.492,492,3.0139,0.53,20325.20325,4.5957,52.48349315,4.0043,655.5283019
0.493,493,3.0157,0.5219,20283.97566,4.6111,52.90314023,3.9555,657.903813
0.494,494,3.0173,0.5137,20242.91498,4.631,53.4815895,3.9205,663.1886315
0.495,495,3.0186,0.5055,20202.0202,4.6444,53.85940502,3.8705,665.677547
0.496,496,3.0197,0.4973,20161.29032,4.6623,54.39613207,3.8349,671.1441786
0.497,497,3.0206,0.4891,20120.72435,4.6739,54.73415878,3.7837,673.6045798
0.498,498,3.0211,0.4809,20080.32129,4.69,55.24146834,3.7469,679.143273
0.499,499,3.0214,0.4727,20040.08016,4.6996,55.54378765,3.6952,681.7220224
0.5,500,3.0215,0.4646,20000,4.7137,56.00529538,3.6584,687.4300474
0.501,501,3.0214,0.4565,19960.07984,4.7218,56.27854637,3.6057,689.8576123
0.502,502,3.021,0.4484,19920.31873,4.734,56.70307845,3.5685,695.8296164
0.503,503,3.0204,0.4405,19880.71571,4.74,56.93285658,3.5152,698.0022701
0.504,504,3.0195,0.4326,19841.26984,4.751,57.34393111,3.4782,704.0221914
0.505,505,3.0186,0.4247,19801.9802,4.7553,57.53329358,3.425,706.4516129
0.506,506,3.0174,0.417,19762.84585,4.7639,57.88095712,3.3875,712.3501199
0.507,507,3.016,0.4095,19723.86588,4.7667,58.04708223,3.334,714.1636142
0.508,508,3.0145,0.402,19685.03937,4.7747,58.39110964,3.297,720.1492537
0.509,509,3.0128,0.3945,19646.36542,4.7762,58.53027084,3.2428,722.0025349
0.51,510,3.0109,0.3872,19607.84314,4.7822,58.82958584,3.2059,727.9700413
0.511,511,3.0088,0.38,19569.47162,4.7824,58.94708854,3.1518,729.4210526
0.512,512,3.0066,0.3729,19531.25,4.7871,59.21971662,3.1156,735.5054975
0.513,513,3.0043,0.3659,19493.17739,4.7861,59.30832473,3.0612,736.6220279
0.514,514,3.0017,0.359,19455.25292,4.7894,59.55625146,3.0254,742.729805
0.515,515,2.9992,0.3523,19417.47573,4.7868,59.60256068,2.9718,743.5424354
0.516,516,2.9965,0.3457,19379.84496,4.7892,59.82646421,2.9361,749.3202198
0.517,517,2.9937,0.3392,19342.35977,4.7856,59.85569696,2.8821,749.6757075
0.518,518,2.9907,0.3329,19305.01931,4.7867,60.05283044,2.8471,755.2418144
0.519,519,2.9877,0.3267,19267.82274,4.7823,60.06627171,2.7935,755.0658096
0.52,520,2.9846,0.3206,19230.76923,4.7827,60.2459291,2.7591,760.6051154
